Ano,Trimestre,UF,UPA,V1008,V1014,V2003,VD4009,V4019,VD4012,VD4002,V2007,V2010,V2009,VD2002,VD2003,V1022,V1023,VD3004,V3002,VD4010,VD4011,V4018,V4025,V4040,VD4031,V1028,VD4016,VD4017
2024,4,35,350193268,11,11,2,9.0,2.0,2.0,1.0,1,1,57,2,2,1,2,3.0,2.0,3.0,7.0,1.0,,4.0,40.0,1025.10103245,2000.0,2000.0
2025,3,21,210042123,11,12,2,9.0,2.0,2.0,1.0,1,4,44,2,5,2,4,5.0,2.0,1.0,6.0,1.0,,4.0,40.0,181.67564831,250.0,250.0
2023,4,25,250076252,7,11,1,2.0,,2.0,1.0,2,1,31,1,2,1,4,5.0,2.0,4.0,5.0,2.0,2.0,2.0,44.0,919.23041442,1000.0,1000.0
2024,3,21,210101249,2,11,3,,,,,1,2,16,3,4,1,4,4.0,1.0,,,,,,,193.264085,,
2025,2,51,510065083,3,11,2,,,,,1,1,67,2,4,2,4,2.0,2.0,,,,,,,87.88440198,,
2025,4,23,230151863,6,12,1,1.0,,1.0,1.0,2,4,30,1,2,1,2,5.0,2.0,2.0,8.0,4.0,2.0,4.0,40.0,1030.95513332,1612.0,1612.0
2023,2,31,310209602,8,11,1,1.0,,1.0,1.0,1,1,36,1,1,1,4,4.0,2.0,4.0,5.0,1.0,2.0,2.0,56.0,1392.97883974,1320.0,1320.0
2024,2,33,330337537,11,11,1,,,,,2,1,74,1,1,1,1,7.0,2.0,,,,,,,279.81348955,,
2025,1,51,510032828,8,12,1,,,,,1,4,78,1,2,1,2,1.0,2.0,,,,,,,253.58362041,,
2025,4,21,210083595,6,12,2,,,,,2,4,91,2,4,2,4,1.0,2.0,,,,,,,93.06331922,,
2025,1,25,250040487,1,12,3,6.0,,1.0,1.0,1,4,29,3,4,2,4,7.0,2.0,8.0,4.0,,1.0,1.0,40.0,197.85879382,1518.0,1518.0
2023,2,13,130024906,8,10,1,,,,2.0,2,4,51,1,3,1,1,7.0,2.0,,,,,,,354.66299135,,
2024,4,29,290133636,9,11,1,8.0,1.0,1.0,1.0,1,1,67,1,2,1,4,7.0,2.0,4.0,5.0,1.0,,4.0,40.0,879.29840372,4000.0,4000.0
2023,2,43,430054155,6,10,3,,,,,2,1,9,3,3,1,1,2.0,1.0,,,,,,,411.11473983,,
